Title,Description,Department,Levels,Class Quota,Waitlist Maximum,Instructor,CRN,Time,Days,Date,Where,Course Type,Method,Credit Hours
['AC 121 - Cybersecurity Awareness'],"['The ability to secure information and systems within a modern enterprise in this modern globalized environment is a growing challenge. Ever-present human threats are global, persistent and increasingly sophisticated. Natural threats are unpredictable but inevitable. Vulnerabilities within the complex and interdependent system of systems continue to be discovered with many more yet to become common knowledge. Exploited vulnerabilities can have a devastating impact on an organization or even a society. This course is designed to familiarize users with information, cyberspace and security principles needed to understand these threats. To this end, the course addresses a range of topics, including information infrastructures, social engineering, information system exploitation techniques and countermeasures to the threats discussed. Pre- or corequisite(s): PHIL 125 or PHIL 105.']",School of Computing,Undergraduate,30,12,Joseph M Jabara (P),14765,02:15 PM - 03:30 PM,TR,8/19/2024-12/12/2024,Main Campus Neff Hall 210,Lecture,TCI,3
['AC 301 - Junior Project'],"[""Second course in four-course project sequence. Introduces students to engineering design concepts with an entrepreneurial mindset. This includes customer discovery and value creation techniques as well as engineering design and project management tools. Prerequisite(s): AC 201 or ENGR 205 or instructor's consent.""]",School of Computing,Undergraduate,20,5,Joseph M Jabara (P),14703,05:30 PM - 08:00 PM,W,8/19/2024-12/12/2024,Main Campus Neff Hall 210,Lecture,TCI,2
['AC 321 - Applied Networking'],['Information technology (IT) virtually connects people and businesses in the world. The daily operations of every organization in the public and private sector heavily rely on the internet. This course allows students to gain vital concepts on computer networking and security to solve real-world computing challenges. This course is a key for anyone who wants to gain advanced skills in the computing sector. Students collaborate effectively and think critically to develop skills in computer networking. Students learn to use industry-standard tools through hands-on class projects.'],School of Computing,Undergraduate,30,5,Cody Jordan Farlow (P),14773,05:30 PM - 06:45 PM,TR,8/19/2024-12/12/2024,Main Campus Engineering Building 211,Lecture,TCI,3
['AC 322 - Applied Programing & Scripting'],"['Good scripting skills are vital to IT experts in the fields of information security. This course is designed for cybersecurity professionals who are interested in learning basic coding skills to perform the cybersecurity tasks more efficiently. The course assists students in taking their cybersecurity career to the next level by teaching the vital skills needed to develop as well as customize applications that interact with file systems, databases, networks and websites. Covers command shell scripting (cmd, powershell, bash) in Windows and Linux operating systems. Emphasizes scripting cybersecurity tasks such as system configuration, system auditing and penetration testing. Also covers Arduino microcontrollers, coding Arduino in Python and coding TCP Traceroute. Python language is used in this course. Prerequisite(s): AC 222 or MIS 325.']",School of Computing,Undergraduate,30,0,Marie Elizabeth Buesch (P),16832,04:00 PM - 05:15 PM,TR,8/19/2024-12/12/2024,Main Campus Jabara Hall 126,Lecture,TCI,3
['AC 324 - Applied Web Apps and DB Dev'],"['When browsing on a web application, look for two things: how user-friendly the web app is and how the information is stored, controlled and used. Each web application has a set of requirements such as financial transaction, customer information, etc. The course covers web and database technologies, services, protocols, design and operation. Students learn a variety of languages including HTML, CSS, Apache and MySQL. Course is designed to apply the languages through hands-on projects. Prerequisite(s): AC 222 or MIS 325 or CS 664. Pre- or corequisite(s): ECON 201 or IME 255.']",School of Computing,Undergraduate,30,0,Cody Jordan Farlow (P),16833,04:00 PM - 05:15 PM,TR,8/19/2024-12/12/2024,Main Campus Engineering Building 202,Lecture,TCI,3
['AC 326 - Cyber Operations'],"[""Covers concepts related to cyber attack, penetration testing, cyber intelligence, cryptography and cyber defense. Students learn the attacker's perspective and how security infrastructure integrates with the rest of the business and IT infrastructure through the use of hands-on projects. Prerequisite(s): AC 121, AC 222, AC 321 and AC 322 .""]",School of Computing,Undergraduate,20,5,Thomas Scott Ensz (P),15415,10:00 AM - 11:30 AM,MW,8/19/2024-12/12/2024,Main Campus Lindquist Hall 310,Lecture,HYB1,4
['AC 331 - Intr to Powershell for Hackers'],"['Cross-listed as CS 331. Students learn the basics of using Windows PowerShell and how to interact with Windows via the PowerShell command prompt. Course instruction includes: how to create and interact with Windows files and directories, how to interact with Windows processes and services, how to use PowerShell commands for basic digital forensics analysis, and how to create and use basic PowerShell scripts. Repeatable for credit.']",School of Computing,Undergraduate,30,0,Thomas Scott Ensz (P),17333,03:15 PM - 04:15 PM,F,8/19/2024-12/12/2024,Main Campus Engineering Building 210,Lecture,TCI,1
['AC 352 - Competitive Ethical Hacking'],"['Cross-listed as CS 352. Presents fundamental concepts of competitive ethical hacking in computer and network security. The course introduces the command line interface, open-source intelligence, cryptography, digital forensics, web application security, software reverse engineering, secure programming and log analysis. Assignments include participating in capture the flag competitions. Prerequisite(s): CS 211 or (AC 121 and AC 322).']",School of Computing,Undergraduate,30,0,Joseph M Jabara (P),16006,10:00 AM - 11:15 AM,TR,8/19/2024-12/12/2024,Main Campus Jabara Hall 205,Lecture,TCI,3
['AC 362 - Basic Python for OSINT'],"['Open Source Intelligence (OSINT) is a critical part of both cybersecurity offensive reconnaissance process and threat analysis for defensive security specialists. While there are many tools that are prebuilt to assist the practitioner in both target and systems OSINT, a background in basic Python can create and develop even more choices for finding, gathering and organizing critical information. Prerequisite(s): AC 121.']",School of Computing,Undergraduate,25,0,Cody Jordan Farlow (P),17346,04:00 PM - 05:00 PM,M,8/19/2024-12/12/2024,Main Campus Jabara Hall 126,Lecture,TCI,1
['AC 363 - Human Threats to Cybersecurity'],"['Kevin Mitnick, who popularized the term “social engineering,” explained that it is much easier to trick someone into revealing a password for a system than to exert the effort of hacking into the system. Mitnick claims that this social engineering tactic was the single-most effective method in his arsenal. This course covers human threats to cybersecurity in political, social and economic contexts. It includes targeted exploitation/manipulation of individuals, small groups and larger groups through social engineering, marketing, propaganda, psychological operations by personal contact, email, social networking, web and RF transmission. Prerequisite(s): AC 121 .']",School of Computing,Undergraduate,28,5,Joseph M Jabara (P),14775,12:00 PM - 01:15 PM,TR,8/19/2024-12/12/2024,Main Campus Donald L. Beggs Hall B231,Lecture,HYB1,3
