Title,Description,Department,Levels,Class Quota,Waitlist Maximum,Instructor,CRN,Time,Days,Date,Where,Course Type,Method,Credit Hours
['AC 121 - Cybersecurity Awareness'],"['The ability to secure information and systems within a modern enterprise in this modern globalized environment is a growing challenge. Ever-present human threats are global, persistent and increasingly sophisticated. Natural threats are unpredictable but inevitable. Vulnerabilities within the complex and interdependent system of systems continue to be discovered with many more yet to become common knowledge. Exploited vulnerabilities can have a devastating impact on an organization or even a society. This course is designed to familiarize users with information, cyberspace and security principles needed to understand these threats. To this end, the course addresses a range of topics, including information infrastructures, social engineering, information system exploitation techniques and countermeasures to the threats discussed. Pre- or corequisite(s): PHIL 125 or PHIL 105.']",School of Computing,Undergraduate,30,5,Joseph M Jabara (P),23964,02:00 PM - 03:15 PM,TR,1/21/2025-5/15/2025,Main Campus Donald L. Beggs Hall B231,Lecture,TCI,3
['AC 222 - Applied Computing Fundamentals'],"['Information technology (IT) virtually connects people and businesses in the world. The daily operations of every organization in the public and private sector heavily rely on the internet. This course allows students to gain vital concepts on computer hardware, computer systems, networking and security to solve real-world computing challenges. This course is a key for anyone who wants to gain basic skills in the computing sector. Students collaborate effectively and think critically to develop skills in computing and networking. Students learn to use industry-standard tools through hands-on class projects.']",School of Computing,Undergraduate,30,5,TBA,23966,11:00 AM - 12:15 PM,MW,1/21/2025-5/15/2025,Main Campus Wilner Auditorium 001,Lecture,TCI,3
['AC 321 - Applied Networking'],['Information technology (IT) virtually connects people and businesses in the world. The daily operations of every organization in the public and private sector heavily rely on the internet. This course allows students to gain vital concepts on computer networking and security to solve real-world computing challenges. This course is a key for anyone who wants to gain advanced skills in the computing sector. Students collaborate effectively and think critically to develop skills in computer networking. Students learn to use industry-standard tools through hands-on class projects.'],School of Computing,Undergraduate,30,5,TBA,25209,03:30 PM - 04:45 PM,TR,1/21/2025-5/15/2025,Main Campus Jabara Hall 127,Lecture,TCI,3
['AC 324 - Applied Web Apps and DB Dev'],"['When browsing on a web application, look for two things: how user-friendly the web app is and how the information is stored, controlled and used. Each web application has a set of requirements such as financial transaction, customer information, etc. The course covers web and database technologies, services, protocols, design and operation. Students learn a variety of languages including HTML, CSS, Apache and MySQL. Course is designed to apply the languages through hands-on projects. Prerequisite(s): AC 222 or MIS 325 or CS 664. Pre- or corequisite(s): ECON 201 or IME 255.']",School of Computing,Undergraduate,30,5,Cody Jordan Farlow (P),23970,11:00 AM - 12:15 PM,TR,1/21/2025-5/15/2025,Main Campus Jabara Hall 104,Lecture,TCI,3
['AC 326 - Cyber Operations'],"[""Covers concepts related to cyber attack, penetration testing, cyber intelligence, cryptography and cyber defense. Students learn the attacker's perspective and how security infrastructure integrates with the rest of the business and IT infrastructure through the use of hands-on projects. Prerequisite(s): AC 121, AC 222, AC 321 and AC 322 .""]",School of Computing,Undergraduate,20,5,Thomas Scott Ensz (P),23971,09:30 AM - 10:45 AM,MW,1/21/2025-5/15/2025,Main Campus Donald L. Beggs Hall B231,Lecture,HYB1,4
['AC 331 - Intr to Powershell for Hackers'],"['Cross-listed as CS 331. Students learn the basics of using Windows PowerShell and how to interact with Windows via the PowerShell command prompt. Course instruction includes: how to create and interact with Windows files and directories, how to interact with Windows processes and services, how to use PowerShell commands for basic digital forensics analysis, and how to create and use basic PowerShell scripts. Repeatable for credit.']",School of Computing,Undergraduate,30,5,Thomas Scott Ensz (P),25890,03:15 PM - 04:15 PM,F,1/21/2025-5/15/2025,Main Campus Donald L. Beggs Hall B231,Lecture,TCI,1
['AC 352 - Competitive Ethical Hacking'],"['Cross-listed as CS 352. Presents fundamental concepts of competitive ethical hacking in computer and network security. The course introduces the command line interface, open-source intelligence, cryptography, digital forensics, web application security, software reverse engineering, secure programming and log analysis. Assignments include participating in capture the flag competitions. Prerequisite(s): CS 211 or (AC 121 and AC 322).']",School of Computing,Undergraduate,30,5,Joseph M Jabara (P),25115,09:30 AM - 10:45 AM,TR,1/21/2025-5/15/2025,Main Campus Jabara Hall 206,Lecture,TCI,3
['AC 402 - Senior Project II'],['Comprehensively covers the student’s concentration in applied computing and its applications. Students continue to work in their teams with faculty and external consultants and industry to refine and develop a final solution for their team based senior project. Prerequisite(s): AC 401.'],School of Computing,Undergraduate,30,5,Joseph M Jabara (P),23974,02:30 PM - 05:10 PM,F,1/21/2025-5/15/2025,Main Campus Engineering Building 210,Lecture,TCI,3
['AC 462 - Cyber Physical Systems'],"[""Focuses on trustworthy and resilient CPS, starting with NIST's CPS Framework. Students learn about common IoT infrastructures, integrate CPS into organizational risk management, and conduct cybersecurity risk assessments for critical cyber physical systems. Prerequisite(s): ENGR 220 and AC 326, or instructor’s consent.""]",School of Computing,Undergraduate,24,5,Thomas Scott Ensz (P),23975,03:30 PM - 04:45 PM,MW,1/21/2025-5/15/2025,Main Campus Donald L. Beggs Hall B231,Lecture,HYB1,4
['AC 464 - Web Application Security'],"['Develops an understanding of common web-based vulnerabilities and their impacts. Concepts include development and management of secure web-based systems, security mitigation strategies and penetration testing. Prerequisite(s): AC 324 and AC 326 .']",School of Computing,Undergraduate,24,5,Thomas Scott Ensz (P),23976,02:00 PM - 03:15 PM,MW,1/21/2025-5/15/2025,Main Campus Donald L. Beggs Hall B231,Lecture,HYB1,3
